State,2012-13
  Alabama ..................,44233.00
  Alaska ...................,7860.00
  Arizona ..................,62208.00
  Arkansas .................,28928.00
  California ...............,422125.00
  Colorado .................,50968.00
  Connecticut ..............,38722.00
  Delaware .................,8070.00
  District of Columbia\3\ ..,3961.00
  Florida ..................,158029.00
  Georgia ..................,92416.00
  Hawaii ...................,10790.00
  Idaho ....................,17198.00
  Illinois .................,139228.00
  Indiana ..................,66595.00
  Iowa .....................,32548.00
  Kansas ...................,31922.00
  Kentucky .................,42888.00
  Louisiana ................,37508.00
  Maine ....................,13170.00
  Maryland .................,58896.00
  Massachusetts ............,66360.00
  Michigan .................,104210.00
  Minnesota ................,58255.00
  Mississippi ..............,26502.00
  Missouri .................,61407.00
  Montana ..................,9369.00
  Nebraska .................,20442.00
  Nevada ...................,23038.00
  New Hampshire ............,14262.00
  New Jersey ...............,96490.00
  New Mexico ...............,19232.00
  New York .................,180351.00
  North Carolina ...........,94339.00
  North Dakota .............,6900.00
  Ohio .....................,122491.00
  Oklahoma .................,37033.00
  Oregon ...................,33899.00
  Pennsylvania .............,129777.00
  Rhode Island .............,9579.00
  South Carolina ...........,42246.00
  South Dakota .............,8239.00
  Tennessee ................,61323.00
  Texas ....................,301390.00
  Utah .....................,33186.00
  Vermont ..................,6491.00
  Virginia .................,83279.00
  Washington ...............,66066.00
  West Virginia ............,17924.00
  Wisconsin ................,61425.00
  Wyoming ..................,5489.00
